YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,PRECTOTCORR,RH2M,QV2M,PS,WS2M,WS10M,WD2M,WD10M
2023,5,20,14,1.83,2.76,4.02,226.88,323.25,28.98,0.88,4.48,8.18,-1.23,3.48,0,52.38,5.68,62.35,5.95,11.32674094,223.62,223.56
2023,5,7,14,2.06,3.06,3.99,253.77,364.73,35.52,1.17,6.05,7.12,-1.25,2.94,0,56.38,5.74,62.27,5.95,11.32674094,221.7,221.68
2023,4,5,12,3.23,3.77,4.54,398.15,448.6,57.59,1.97,10.25,4.54,-6.88,-1.17,0,43.75,3.72,62.24,5.93,11.28866786,226.28,226.28
2023,4,19,13,2.57,3.08,4.42,302.58,352.17,38.59,1.22,6.3,10.04,-2.04,4,0,43.56,5.37,62.46,5.93,11.28866786,228.58,228.63
2023,5,20,13,2.16,3.32,4.5,273.2,393.02,36.18,1.25,6.3,8.74,-1.73,3.51,0,48.62,5.49,62.36,5.92,11.26963132,223.34,223.25
2023,4,16,13,2.36,3.19,4.4,284.83,370.08,37.98,1.23,6.38,9.44,-4.98,2.23,0,35.94,4.21,62.58,5.91,11.25059478,220.45,220.42
2023,5,15,15,1.2,2.22,3.3,149,260.1,19.69,0.49,2.52,6.37,0.83,3.6,0.48,69.56,6.71,62.13,5.84,11.117339,227.49,227.65
2023,4,29,16,0.69,1.19,2.33,79.73,129.95,10.16,0.16,0.77,2.84,-1.21,0.81,0.55,76.12,5.74,62.32,5.75,10.94601015,217.77,217.83
2023,3,27,13,2.95,3.48,4.25,348.35,402.35,48.4,1.46,7.4,3.69,-11.11,-3.71,0,31.75,2.5,62.18,5.89,11.2125217,223.23,223.24
2023,4,28,15,1.15,1.88,3.23,131.8,204.15,15.63,0.34,1.73,4.19,-1.35,1.42,0.01,68.31,5.62,62.33,5.74,10.92697361,223.45,223.58
2023,4,19,12,2.54,3.3,4.64,301.52,376.75,39.19,1.3,6.85,10.58,-3.42,3.58,0,38.19,4.88,62.5,5.88,11.19348516,231.2,231.16
2023,5,7,12,2.66,3.7,4.7,335.52,438.5,46.69,1.79,9.7,7.49,-1.88,2.81,0,52.56,5.43,62.33,5.92,11.26963132,223.02,223.06
2023,5,8,12,2.99,3.85,4.71,376.17,456.67,53.85,1.99,10.73,8.15,-5.81,1.17,0,36.44,3.97,62.44,5.92,11.26963132,221.41,221.43
2023,5,27,12,2.03,3.69,4.72,276.98,446.15,39.56,1.52,8.17,8.19,-0.48,3.85,0.2,56,6.1,62.35,5.89,11.2125217,220.86,220.83
2023,4,16,14,2.16,2.7,3.91,254.33,310.62,33.1,0.97,5,8.76,-3.77,2.49,0,41.19,4.64,62.54,5.85,11.13637554,220.34,220.39
2023,5,9,11,3.29,3.9,4.66,413,468.75,60.66,2.23,11.92,7.56,-10.56,-1.5,0,26.06,2.69,62.4,5.88,11.19348516,234.13,234.3
2023,5,24,15,1.68,2.43,3.33,211,296.77,29.58,0.82,4.27,8.76,2.9,5.83,0,68.81,7.81,62.45,5.73,10.90793707,229.42,229.5
2023,3,28,13,2.55,3.24,4.26,300.58,368.88,40.41,1.16,5.85,2.5,-5.67,-1.59,0,55.44,4.09,62.19,5.82,11.07926592,224.89,224.87
2023,3,6,12,2.55,3.31,4.15,301.58,385.7,41.9,1.42,7.48,3.89,-11.98,-4.04,0,29.88,2.38,62.53,5.84,11.117339,228.74,228.73
2023,4,28,14,1.56,2.5,3.96,178.73,274.08,21.2,0.57,2.9,5.89,-1.79,2.05,0.01,58.94,5.49,62.36,5.77,10.98408323,225.6,225.69
2023,5,24,14,2.29,3.09,4.03,291.67,379.4,41.55,1.38,7.12,9.48,2.97,6.23,0,65.88,7.81,62.49,5.74,10.92697361,227.98,227.99
2023,3,27,12,3.08,3.66,4.45,364.4,423.83,51.04,1.62,8.23,3.84,-12.24,-4.2,0,28.44,2.32,62.22,5.82,11.07926592,223.97,223.96
2023,5,3,10,2.23,3.15,4.32,271.3,369.48,37.03,1.19,5.95,5.45,-0.99,2.23,0,64.81,5.8,62.54,5.81,11.06022938,225.65,225.61
2023,5,18,14,2.08,2.77,4.02,254.48,330.5,32.73,1.02,5.17,9.54,2.1,5.82,0.2,61.62,7.32,62.49,5.71,10.86986399,232,232.06
2023,4,26,12,3.01,3.68,4.67,369.7,435.27,50.66,1.75,8.95,6.19,-2.97,1.61,0.02,52.75,5,62.4,5.82,11.07926592,220.75,220.77
2023,5,19,15,1.43,2.3,3.32,180.1,275.92,23.92,0.63,3.3,7.59,0.46,4.03,0.14,61.88,6.47,62.33,5.77,10.98408323,221.87,221.95
